form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.176406,,,ORG,"ACORN Graphix, LLC",,,,,,3634 Woodpath Drive,,Florissant,MO,63031,,,2023-11-29,4575.00,,printing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176392,,,ORG,Angle Mastagni Matthews Political Strategies,,,,,,507 N Sylvania Ave,,Fort Worth,TX,76111,,,2023-11-06,29931.28,,texting and robocalls for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176396,,,ORG,Angle Mastagni Matthews Political Strategies,,,,,,507 N Sylvania Ave,,Fort Worth,TX,76111,,,2023-11-15,23212.86,,phone calls for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176399,,,ORG,Angle Mastagni Matthews Political Strategies,,,,,,507 N Sylvania Ave,,Fort Worth,TX,76111,,,2023-11-28,10061.00,,phone calls for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176388,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2023-11-02,62049.04,,Mail for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176448,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2023-11-14,29167.00,,mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176403,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2023-11-17,7184.87,,mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176402,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2023-11-20,8204.41,,mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176398,,,ORG,Artisan Strategies,,,,,,1300 Pennsylvania Ave,,Washington,DC,20001,,,2023-11-28,11177.00,,mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176425,,,COM,Asjah Miller for City Council,,,,,,153 Spring Street,,Jonesboro,GA,30236,,,2023-11-06,600.00,,contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176391,,,ORG,Base Builder,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2023-11-13,221414.00,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176393,,,ORG,Casa in Action,,,,,,8151 15th ave,,Hyattsville,MD,20783,,,2023-11-06,25000.00,,canvassing for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176387,,,ORG,CCM&Co,,,,,,1022 Boulevard 329,,West Hartford,CT,06119,,,2023-11-02,17180.00,,Printed literature for non-federel election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176427,,,COM,Committee to Elect Catherine Hardrick,,,,,,2280 Buckley Trail,,Snellville,GA,30078,,,2023-11-03,500.00,,Contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176397,,,ORG,Community Labor Administrative Services,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2023-11-01,19464.64,,phone banking for non-federal elections,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176404,,,ORG,Community Labor Administrative Services,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2023-11-06,5000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176405,,,ORG,Community Labor Administrative Services,,,,,,77 Sands Street,6th Floor,Brooklyn,NY,11201,,,2023-11-06,755.61,,texting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176400,,,ORG,Corazon Printing,,,,,,6650 W 120th street,unit A7,Broomfield,CO,80020,,,2023-11-02,9671.26,,mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176416,,,COM,Donya Sartor for Jonesboro Mayor,,,,,,1859 City Center Way,,Jonesboro,GA,30236,,,2023-11-03,600.00,,contribution to non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176380,,,ORG,Financial Innovations,,,,,,One Weingeroff Boulevard,,Cranston,RI,02910,,,2023-11-15,6103.31,,Merchandise for online store,001,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176382,,,CCM,Friends of Kendra Brooks,,,,,,5730 Reach St,,Philadelphia,PA,19120,,,2023-11-09,25200.00,,Contribution to non-federal candidate,012,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176381,,,CCM,Friends of Nick O'Rourke,,,,,,5027 Spruce Street,,Philadelphia,PA,19104,,,2023-11-09,25200.00,,Contribution to non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176394,,,COM,Front Street Advisors,,,,,,315 New Street,,Philadelphia,PA,19106,,,2023-11-20,24544.55,,Phone Calls for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176429,,,COM,Kimberly Haase for Acworth Alderman,,,,,,2774 Cobb Pkwy,Ste 109 #178,Kennesaw,GA,30152,,,2023-11-03,500.00,,Contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176415,,,ORG,Law Offices for Fallon McClure,,,,,,4644 Powder Spring Dallas Road,1816,Powder Springs,GA,30127,,,2023-11-16,5000.00,,mail and consulting for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176385,,,COM,Organize Pennsylvania,,,,,,1414 Brighton Rd,,Pittsburg,PA,15212,,,2023-11-14,5000.00,,Contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176407,,,IND,,Price,Kristopher,,,,2903 Mayer Place,,Alexandra,VA,22302,,,2023-11-20,4000.00,,consultant for mailers for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176408,,,ORG,Sway,,,,,,4350 East West Highway,Suite 350,Bethesda,MD,20814,,,2023-11-03,3500.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176433,,,COM,Teresa Thomas-Smith for Paletto Mayor,,,,,,PO Box 1744,,Palmetto,GA,30268,,,2023-11-06,250.00,,Contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176410,,,ORG,Turn it Blue,,,,,,780 Utica Ave,,Coulder,CO,80304,,,2023-11-01,2000.00,,digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.176431,,,COM,Yolands Barber,,,,,,197 Talon Pl,,McDonough,GA,30252,,,2023-11-03,250.00,,Contribution to non-federal committee,,,,,,,,,,,,,,,,,,,,
