form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00746073,500029237,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-04-01,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500029923,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-04-29,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500029924,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-04-29,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500030641,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-05-29,79.99,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500030642,,,ORG,Adobe Creative,,,,,,345 Park Ave,,San Jose,CA,951102704,,,2024-05-29,24.37,0.00,Software/Software Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500029920,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-04-26,165.00,0.00,Bank Fees; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500029921,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-04-26,95.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500030637,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-05-24,140.00,0.00,Bank Fees; IE only account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500030638,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-05-24,95.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500031337,,,ORG,Amalgamated Bank,,,,,,1825 K St NW,,Washington,DC,200061202,,,2024-06-28,97.00,0.00,Bank Fees,,,,,,,,,,,,,,,,,,,,
