form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00112896,E26594F4BF786469960,,,CCM,Alaskans For Nick Begich,,,,,,PO Box 671710,,Chugiak,AK,99567,G2022,,2024-12-16,5000.00,,2022 General Debt Retirement,011,C00792341,,H2AK01083,Begich,Nicholas,J.,,III,H,AK,01,,,,,,,,
SB23,C00112896,C29797FA82B4FF8A3F7,,,PAC,Blue Dog Political Action Committee,,,,,,PO Box 83142,,Gaithersburg,MD,20883,O2024,Contribution,2024-12-16,5000.00,,2024 Contribution,011,C00305318,Blue Dog Political Action Committee,,,,,,,,,,,,,,,,,
SB23,C00112896,BF036D74B8F6F7E0206,,,PTY,NRCC,,,,,,320 1st St SE,,Washington,DC,20003,O2024,Contribution,2024-12-16,15000.00,,2024 Contribution,011,C00075820,NRCC,,,,,,,,,,,,,,,,,
SB23,C00112896,7CD8326097A1CE7ADC1,,,PTY,NRSC,,,,,,425 2nd St NE,,Washington,DC,20002,O2024,Contribution,2024-12-16,15000.00,,2024 Contribution,011,C00027466,NRSC,,,,,,,,,,,,,,,,,
SB23,C00112896,D6631DC1A627D7669FC,,,PAC,"US Energy PAC (THE PAC OF AMERICAN EXPLORATION & PRODUCTION COUNCIL, INC.)",,,,,,999 E St NW,Ste 200,Washington,DC,20004,O2024,Contribution,2024-12-16,5000.00,,2024 Contribution,011,C00755454,"US Energy PAC (THE PAC OF AMERICAN EXPLORATION & PRODUCTION COUNCIL, INC.)",,,,,,,,,,,,,,,,,
