form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00267849,SB23.280980,,,CCM,AARON BEAN FOR CONGRESS,,,,,,2640A MITCHAM DRIVE,,TALLAHASSEE,FL,32308,P2024,,2023-05-04,1000.00,,#6953,,C00816983,AARON BEAN FOR CONGRESS,,,,,,,H,FL,04,,,,,,,,
SB23,C00267849,SB23.281112,,,CCM,AARON BEAN FOR CONGRESS,,,,,,2640A MITCHAM DRIVE,,TALLAHASSEE,FL,32308,P2024,,2023-06-26,1000.00,,#7048,,C00816983,AARON BEAN FOR CONGRESS,,,,,,,H,FL,04,,,,,,,,
SB23,C00267849,SB23.281016,,,CCM,ACROSS THE AISLE PAC,,,,,,611 PENNSYLVANIA AVENUE SE,SUITE 143,WASHINGTON,DC,20003,G2023,,2023-06-05,5000.00,,#6979,,C00696591,ACROSS THE AISLE PAC,,,,,,,,,,,,,,,,,
SB23,C00267849,SB23.280977,,,CCM,ALMA ADAMS FOR CONGRESS,,,,,,P.O. BOX 31473,,CHARLOTTE,NC,28231,P2024,,2023-05-04,1000.00,,#6952,,C00546358,ALMA ADAMS FOR CONGRESS,,,,,,,H,NC,12,,,,,,,,
SB23,C00267849,SB23.281075,,,CCM,ALMA ADAMS FOR CONGRESS,,,,,,P.O. BOX 31473,,CHARLOTTE,NC,28231,P2024,,2023-06-20,1000.00,,#7025,,C00546358,ALMA ADAMS FOR CONGRESS,,,,,,,H,NC,12,,,,,,,,
SB23,C00267849,SB23.281052,,,CCM,AMODEI FOR NEVADA,,,,,,503 N DIVISION ST,,CARSON CITY,NV,89703,P2024,,2023-06-15,1000.00,,#7007,,C00496760,AMODEI FOR NEVADA,,,,,,,H,NV,02,,,,,,,,
SB23,C00267849,SB23.281069,,,CCM,AUGUST PFLUGER FOR CONGRESS,,,,,,PO BOX 3530,,SAN ANGELO,TX,76902,P2024,,2023-06-15,1000.00,,#7020,,C00719294,AUGUST PFLUGER FOR CONGRESS,,,,,,,H,TX,11,,,,,,,,
SB23,C00267849,SB23.281076,,,CCM,BALDERSON FOR CONGRESS,,,,,,4679 WINTERSET DR,,COLUMBUS,OH,43220,P2024,,2023-06-20,1000.00,,#7026,,C00662650,BALDERSON FOR CONGRESS,,,,,,,H,OH,12,,,,,,,,
SB23,C00267849,SB23.280930,,,CCM,BERGMANFORCONGRESS,,,,,,"3585 BUNKER HILL RD, #434",,ACME,MI,49610,P2024,,2023-03-31,2500.00,,#6918,,C00614214,BERGMANFORCONGRESS,,,,,,,H,MI,01,,,,,,,,
SB23,C00267849,SB23.281113,,,CCM,BERGMANFORCONGRESS,,,,,,"3585 BUNKER HILL RD, #434",,ACME,MI,49610,P2024,,2023-06-26,1500.00,,#7049,,C00614214,BERGMANFORCONGRESS,,,,,,,H,MI,01,,,,,,,,
