form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00599084,SB23.8083,,,CCM,ALAMO PAC,,,,,,919 CONGRESS AVENUE,SUITE 1400,AUSTIN,TX,78701,P2024,,2023-09-10,2500.00,,PCGPAC contribution to Alamo PAC,011,C00387464,ALAMO PAC,S2TX00106,CORNYN,JOHN,,,,S,TX,00,,,,,,,,
SB23,C00599084,SB23.8082,,,CAN,,ARRINGTON,JODEY COOK,,,,4407 13TH ST,,LUBBOCK,TX,79416,P2024,,2023-08-17,2500.00,,PCGPAC contribution to Texans for Jodey Arrington,011,C00588657,TEXANS FOR JODEY ARRINGTON,,,,,,,H,TX,19,,,,,,,,
SB23,C00599084,SB23.8091,,,CAN,,ARRINGTON,JODEY COOK,,,,4407 13TH ST,,LUBBOCK,TX,79416,P2024,,2023-09-12,2500.00,,PCGPAC contribution to Texans for Jodey Arrington,011,C00588657,TEXANS FOR JODEY ARRINGTON,,,,,,,H,TX,19,,,,,,,,
SB23,C00599084,SB23.8073,,,PAC,Committee for the Advancement of Cotton,,,,,,PO Box 2995,,Cordova,TN,380882995,G2024,,2023-07-24,5000.00,,PCGPAC contribution to Comm for the Adv of Cotton,011,C00023028,Committee for the Advancement of Cotton,,,,,,,,,,,,,,,,,
SB23,C00599084,SB23.8126,,,CAN,,CRENSHAW,DAN,,Mr.,,PO BOX 430965,,HOUSTON,TX,77243,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Dan Crenshaw for Congress,011,C00660795,DAN CRENSHAW FOR CONGRESS,,,,,,,H,TX,,,,,,,,,
SB23,C00599084,SB23.8134,,,CAN,,CROCKETT,JASMINE,,,,PO BOX 227235,,DALLAS,TX,75222,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Jasmine for Us,011,C00795450,JASMINE FOR US,,,,,,,H,TX,30,,,,,,,,
SB23,C00599084,SB23.8130,,,CAN,,ELLZEY,JOHN KEVIN SR.,,,,1005 CONGRESS AVENUE,SUITE 400,AUSTIN,TX,78734,P2024,,2023-09-28,1000.00,,PCGPAC contribution to Jake Ellzey for Congress,011,C00770438,JAKE ELLZEY FOR CONGRESS,,,,,,,H,TX,06,,,,,,,,
SB23,C00599084,SB23.8114,,,CAN,,EMMER,THOMAS EARL JR.,,,,PO BOX 998,,ANOKA,MN,55303,P2024,,2023-09-14,2500.00,,PCGPAC contribution to Emmer Victory Committee,011,C00573444,EMMER VICTORY COMMITTEE DBA REPUBLICAN CONGRESSIONAL VICTORY COMMITTEE,,,,,,,H,MN,06,,,,,,,,
SB23,C00599084,SB23.8135,,,CAN,,ERNST,JONI K,,,,1003 EASTERN AVENUE,,RED OAK,IA,51566,P2024,,2023-08-01,1500.00,,PCGPAC contribution to Joni for Iowa,011,C00546788,JONI FOR IOWA,,,,,,,S,IA,00,,,,,,,,
SB23,C00599084,SB23.8086,,,CAN,,FALLON,PATRICK,,,,PO BOX 614,,CELINA,TX,75009,P2024,,2023-09-12,5000.00,,PCGPAC contribution to Fallon for Congress,011,C00750307,FALLON FOR CONGRESS,,,,,,,H,TX,04,,,,,,,,
SB23,C00599084,SB23.8107,,,CAN,,FINSTAD,BRAD,,,,PO BOX 923,,NEW ULM,MN,56073,P2024,,2023-09-14,2500.00,,PCGPAC contribution to Finstad for Congress,011,C00807743,FINSTAD FOR CONGRESS,,,,,,,H,MN,01,,,,,,,,
SB23,C00599084,SB23.8103,,,CAN,,FISCHBACH,MICHELLE,,,,PO BOX 190,,LITCHFIELD,MN,55355,P2024,,2023-09-14,2500.00,,PCGPAC contribution to Fischbach for Congress,011,C00717959,FISCHBACH FOR CONGRESS,,,,,,,H,MN,07,,,,,,,,
SB23,C00599084,SB23.8102,,,CAN,,FISCHER,DEBRA S,,,,5555 SOUTH ST STE 200,,LINCOLN,NE,68506,P2024,,2023-09-14,2500.00,,PCGPAC contribution to Deb Fischer for US Senate,011,C00498907,DEB FISCHER FOR US SENATE INC,,,,,,,S,NE,00,,,,,,,,
