form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00365536,500463114,,,ORG,Pescador Public Strategies,,,,,,4007 McCullough Ave,Ste 168,San Antonio,TX,782122420,G2024,,2024-10-22,25000.00,2024-10-18,149947.00,"TV, Digital, Radio Ad Buy - Estimate",004,,S,H2NE02132,VARGAS,ANTHONY 'TONY',,,,H,02,NE,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500463677,,,ORG,Sage Media Planning,,,,,,1322 G St SE,,Washington,DC,200033021,G2024,,2024-10-25,99637.79,2024-10-24,597950.06,Radio Ad Buy - Estimate,004,,O,H8NM02156,HERRELL,STELLA YVETTE,,,,H,02,NM,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500461895,,,ORG,Sena Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,200151805,G2024,,2024-10-18,5922.65,2024-10-18,105922.65,Digital Ad Production - Actual amount of estimate reported 10/19,004,,O,H4CA49149,GUNDERSON,MATT,,,,H,49,CA,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500463678,,,ORG,Sena Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,200151805,G2024,,2024-10-25,2023.62,2024-10-26,597950.06,Radio Ad Production - Estimate,004,,O,H8NM02156,HERRELL,STELLA YVETTE,,,,H,02,NM,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500464158,,,ORG,Sena Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,200151805,G2024,,2024-10-25,10050.27,2024-10-28,725971.89,Digital Ad Production - Actual amount of estimate reported 10/24/24,004,,O,H4CO08034,EVANS,TIMOTHY,JOSEPH,,,H,08,CO,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500464159,,,ORG,Sena Kozar Strategies,,,,,,3723 Jenifer St NW,,Washington,DC,200151805,G2024,,2024-10-25,7580.96,2024-10-28,725971.89,Digital Ad Production - Actual amount of estimate reported 10/24/24,004,,S,H2CO08020,CARAVEO,YADIRA,,,,H,08,CO,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500462907,,,ORG,Uplift,,,,,,2120 University Ave,,Berkeley,CA,947041026,G2024,,2024-10-22,33333.33,2024-10-17,597950.06,Digital Ad Buy - Estimate,004,,O,H8NM02156,HERRELL,STELLA YVETTE,,,,H,02,NM,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500462900,,,ORG,Uplift,,,,,,2120 University Ave,,Berkeley,CA,947041026,G2024,,2024-10-29,33333.34,2024-10-21,597950.06,Digital Ad Buy - Estimate,004,,O,H8NM02156,HERRELL,STELLA YVETTE,,,,H,02,NM,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500463302,,,ORG,Uplift,,,,,,2120 University Ave,,Berkeley,CA,947041026,G2024,,2024-10-25,100000.00,2024-10-23,725971.89,Digital Ad Buy - Estimate,004,,O,H4CO08034,EVANS,TIMOTHY,JOSEPH,,,H,08,CO,Tinsmon,Cassandra,,,,2025-01-21,
SE,C00365536,500463303,,,ORG,Uplift,,,,,,2120 University Ave,,Berkeley,CA,947041026,G2024,,2024-10-25,100000.00,2024-10-23,725971.89,Digital Ad Buy - Estimate,004,,S,H2CO08020,CARAVEO,YADIRA,,,,H,08,CO,Tinsmon,Cassandra,,,,2025-01-21,
