form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00386029,EB109003,,,PAC,Friends of Michael Naft,,,,,,"16424 S Eastern Avenue, Suite A-10",,Henderson,NV,89052,,,2024-08-01,5000.00,,,011,,Friends of Michael Naft,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109007,,,PAC,Carolyn Coleman Campaign Fund,,,,,,806 East Blvd.,,Baton Rouge,LA,70802,,,2024-08-06,500.00,,,011,,Carolyn Coleman Campaign Fund,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109008,,,PAC,Darryl Hurst Campaign Fund,,,,,,4356 Norwich Dr.,,Baton Rouge,LA,70814,,,2024-08-06,500.00,,,011,,Darryl Hurst Campaign Fund,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109005,,,PAC,Dossett for Senate 2024,,,,,,1632 South Evanston Avenue,,Tulsa,OK,74104,,,2024-08-06,1000.00,,,011,,Dossett for Senate 2024,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109006,,,PAC,Friends of Dave Rader 2024,,,,,,8921 S. Hudson Avenue,,Tulsa,OK,74137,,,2024-08-06,1000.00,,,011,,Friends of Dave Rader 2024,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109004,,,PAC,John Haste for OK Senate 2022,,,,,,8206 E. Greeley Pl.,,Broken Arrow,OK,74014,,,2024-08-06,1000.00,,,011,,John Haste for OK Senate 2022,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109009,,,PAC,Monmouth County Republican Committee,,,,,,PO Box 999,,Edison,NJ,08818,,,2024-08-07,300.00,,,011,,Monmouth County Republican Committee,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109011,,,PAC,Friends of Nick Pisciottano,,,,,,PO Box 338,,West Mifflin,PA,15122,G2024,,2024-08-08,1250.00,,,011,,Friends of Nick Pisciottano,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109010,,,PAC,Sangirardi for BART Board 2024,,,,,,"312 Clay Street, Suite 300",,Oakland,CA,94607,,,2024-08-08,250.00,,,011,,Sangirardi for BART Board 2024,,Committee,Non-Federal,,,,,,,,,,,,,,
SB29,C00386029,EB109017,,,PAC,The Committee to Elect J.B. McCuskey,,,,,,1440 Louden Heights Road,,Charleston,WV,25314,,,2024-08-12,2800.00,,,011,,The Committee to Elect J.B. McCuskey,,Committee,Non-Federal,,,,,,,,,,,,,,
