form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00746073,500032262,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-07-23,4000.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032260,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-07-29,4000.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032561,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-08-09,1500.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033462,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-09-10,2500.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034728,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-09-20,3000.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034725,,,ORG,Prestige WW Inc.,,,,,,12701 Gordon Blvd,Apt 1,Woodbridge,VA,221922635,,,2024-09-27,5750.00,0.00,List Acquisition; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500031339,,,ORG,Storyblocks,,,,,,1515 N Courthouse Rd,Ste 1000,Arlington,VA,222012939,,,2024-07-01,70.00,0.00,Video Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032255,,,ORG,Storyblocks,,,,,,1515 N Courthouse Rd,Ste 1000,Arlington,VA,222012939,,,2024-07-31,70.00,0.00,Video Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033087,,,ORG,Storyblocks,,,,,,1515 N Courthouse Rd,Ste 1000,Arlington,VA,222012939,,,2024-09-03,70.00,0.00,Video Licensing; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500031999,,,ORG,Surf's Up Consulting,,,,,,5015 Clinton St,Apt 309,Los Angeles,CA,900041750,,,2024-07-08,2500.00,0.00,Communications Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032004,,,ORG,Surf's Up Consulting,,,,,,5015 Clinton St,Apt 309,Los Angeles,CA,900041750,,,2024-07-16,2500.00,0.00,Communications Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033463,,,ORG,Surf's Up Consulting,,,,,,5015 Clinton St,Apt 309,Los Angeles,CA,900041750,,,2024-09-10,2500.00,0.00,Communications Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034205,,,ORG,Surf's Up Consulting,,,,,,5015 Clinton St,Apt 309,Los Angeles,CA,900041750,,,2024-09-17,2500.00,0.00,Communications Consulting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033092,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-08-22,27.90,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033093,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-08-22,21.08,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033094,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-08-22,29.53,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033095,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-08-22,35.43,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500033091,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-08-26,52.80,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034206,,,ORG,Uber,,,,,,1455 Market St,,San Francisco,CA,941031331,,,2024-09-16,9.84,0.00,Travel; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032003,,,ORG,Wave Break Digital LLC,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-07-15,200.00,0.00,Web Design and Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500032557,,,ORG,Wave Break Digital LLC,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-08-13,100.00,0.00,Web Design and Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
SB29,C00746073,500034208,,,ORG,Wave Break Digital LLC,,,,,,1380 Monroe St NW,# 409,Washington,DC,200103452,,,2024-09-13,100.00,0.00,Web Design and Hosting; IE-Only Account,,,,,,,,,,,,,,,,,,,,
