form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00035204,15842160,,,CCM,Ken Calvert For Congress Committee,,,,,,P.O. Box 78376,,Corona,CA,92877,P2024,,2023-08-07,5000.00,0.00,2023 Event,011,C00257337,Ken Calvert For Congress Committee,H2CA37023,Calvert,Ken,,Rep.,,H,CA,42,,,,,,,,2023 Event
SB23,C00035204,15842489,,,CCM,Manchin For West Virginia,,,,,,PO Box 5202,,Charleston,WV,25361,P2022,,2023-08-09,-5000.00,0.00,Void - Manchin For West Virginia,011,C00486563,Manchin For West Virginia,S0WV00090,Manchin,Joe,,Mr.,III,S,WV,,,,,,,,,Void - Manchin For West Virginia
SB23,C00035204,15842490,,,CCM,Garret Graves For Congress,,,,,,P.O. Box 64845,,Baton Rouge,LA,70896,G2022,,2023-08-09,-1500.00,0.00,Void - Garret Graves For Congress,011,C00558486,Garret Graves For Congress,H4LA06153,Graves,Garret,,Rep.,,H,LA,06,,,,,,,,Void - Garret Graves For Congress
SB23,C00035204,15842491,,,CCM,Garret Graves For Congress,,,,,,P.O. Box 64845,,Baton Rouge,LA,70896,P2022,,2023-08-09,-1000.00,0.00,Void - Garret Graves For Congress,011,C00558486,Garret Graves For Congress,H4LA06153,Graves,Garret,,Rep.,,H,LA,06,,,,,,,,Void - Garret Graves For Congress
SB23,C00035204,15842492,,,CCM,David Rouzer For Congress,,,,,,PO Box 2267,,Smithfield,NC,27577,G2022,,2023-08-09,-1000.00,0.00,Void - David Rouzer For Congress,011,C00501643,David Rouzer For Congress,H2NC07096,Rouzer,David,,Mr.,,H,NC,07,,,,,,,,Void - David Rouzer For Congress
SB23,C00035204,15842493,,,CCM,Mike Flood for Congress,,,,,,P.O. Box 81041,,Lincoln,NE,68501,G2022,,2023-08-09,-1500.00,0.00,Void - Mike Flood for Congress,011,C00801241,Mike Flood for Congress,,Flood,Mike,,,,H,NE,01,,,,,,,,Void - Mike Flood for Congress
SB23,C00035204,15842573,,,COM,Equality PAC,,,,,,P.O. Box 15337,,Washington,DC,20003,,,2023-08-09,1000.00,0.00,"Event - Sept 19, 2023",011,,,,,,,,,,,,,,,,,,,"Event - Sept 19, 2023"
SB23,C00035204,15842792,,,CCM,Elise For Congress,,,,,,P.O. Box 500,,Glens Falls,NY,12801,P2024,,2023-08-09,1000.00,0.00,2023 Event,011,C00547893,Elise For Congress,H4NY21079,Stefanik,Elise,,Rep.,,H,NY,21,,,,,,,,2023 Event
SB23,C00035204,15849765,,,COM,McCarthy Victory Fund,,,,,,P.O. Box 13307,,Bakersfield,CA,93389,,,2023-08-18,5000.00,0.00,"Event - Sep 20, 2023",011,,,,,,,,,,,,,,,,,,,"Event - Sep 20, 2023"
SB23,C00035204,15851128,,,CCM,Larson For Congress,,,,,,PO Box 479,,Glastonbury,CT,06033,P2024,,2023-08-25,1500.00,0.00,2023 Event,011,C00330142,Larson For Congress,H8CT01046,Larson,John,B.,Rep.,,H,CT,01,,,,,,,,2023 Event
SB23,C00035204,15851831,,,CCM,Pallone For Congress,,,,,,PO Box 3176,,Long Branch,NJ,07740,P2024,,2023-08-30,2500.00,0.00,"Event - September 7, 2023",011,C00226928,Pallone For Congress,H8NJ03073,Pallone,Frank,,Rep.,Jr.,H,NJ,06,,,,,,,,"Event - September 7, 2023"
