form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00432260,SB21B.11377,,,ORG,Authorize.NET,,,,,,808 East Utah Valley Dr.,,American Fork,UT,84003,,,2023-12-04,149.90,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.10807,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.10809,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11440,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11444,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11445,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11452,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11457,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11458,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11463,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11472,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11473,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11479,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11484,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11488,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11493,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-07,-17.71,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11512,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-21,-60.81,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11515,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-21,-60.81,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11518,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-21,-60.81,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11521,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-21,-60.81,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11524,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-21,-60.81,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11513,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-28,-61.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11516,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-28,-61.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11519,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-28,-61.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11522,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-28,-61.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11525,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-28,-61.26,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11514,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-31,-61.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11517,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-31,-61.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11520,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-31,-61.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11523,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-31,-61.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11526,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2023-12-31,-61.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11378,,,ORG,"FatLab, LLC",,,,,,1732 1st Ave.,#24150,New York,NY,10128,,,2023-12-05,1170.00,,website maintenance,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11379,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-12-05,46.51,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11380,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-12-15,475.09,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11381,,,ORG,FedEx,,,,,,PO Box 371461,,Pittsburgh,PA,152507461,,,2023-12-19,20.65,,express mail,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11387,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-01,1.81,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11383,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-04,1.93,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11384,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-11,1.15,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11388,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-15,0.76,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11385,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-18,201.46,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11389,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-22,22.81,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00432260,SB21B.11386,,,ORG,Stripe,,,,,,185 Berry St.,Ste. 550,San Francisco,CA,94107,,,2023-12-26,36.25,,credit card processing fees,,,,,,,,,,,,,,,,,,,,
