form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00339499,B519E066B498B4BA3AA1,,,CCM,ANGUS KING FOR U.S. SENATE CAMPAIGN,,,,,,PO BOX 368,"114 MAINE STREET, SUITE 1",Brunswick,ME,040110368,G2024,,2024-12-16,-1500.00,,VOID - 7/24/24 Contribution to Committee,,C00516047,ANGUS KING FOR U.S. SENATE CAMPAIGN,S2ME00109,King,Angus,,Sen.,Jr.,S,ME,,,,,,,,,,
SB23,C00339499,B27424BC02AC1453D8E0,,,PAC,"CREATING OPPORTUNITIES, MARKETS AND ENTHUSIASM IN RURAL KENTUCKY PAC",,,,,,228 S WASHINGTON ST,STE. 115,Alexandria,VA,223145404,O2024,Other,2024-12-16,1000.00,,Contribution to Committee,,C00650853,"CREATING OPPORTUNITIES, MARKETS AND ENTHUSIASM IN RURAL KENTUCKY PAC",,,,,,,,,,,,,,,,,,
SB23,C00339499,B1780901B11A44267BCA,,,PAC,Electing Majority Making Effective Republicans,,,,,,PO BOX 183,,Anoka,MN,553030183,O2024,Other,2024-12-16,1000.00,,Contribution to Committee,,C00592089,Electing Majority Making Effective Republicans,,,,,,,,,,,,,,,,,,
SB23,C00339499,B1DC88C068DCB4295AB1,,,PAC,MAKE IT WORK PAC,,,,,,"1032 15th Street, NW",Suite 247,Washington,DC,200051502,O2024,Other,2024-12-16,1500.00,,Contribution to Committee,,C00552539,MAKE IT WORK PAC,,,,,,,,,,,,,,,,,,
