form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00779595,SB29001,,,ORG,"Majority Strategies, LLC",,,,,,PO Box 679219,,Dallas,TX,75267,,,2024-04-01,105958.62,,Non-federal Mail production/postage,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29002,,,ORG,Creative Strategic Solutions LLC,,,,,,7708 Richmond Highway Suite 1018 ,,Arlington,VA,22313,,,2024-04-08,10000.00,,Non-federal Digital Advertising/Text messages,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29003,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue Suite 405,,Denver,CO,80231,,,2024-04-26,13485.00,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29004,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue Suite 405,,Denver,CO,80231,,,2024-04-26,13485.00,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29005,,,ORG,Go Big Media,,,,,,P.O. Box 25026,,Washington,DC,20027,,,2024-05-16,20568.80,,Non-federal Digital Advertising/Text messages,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29006,,,ORG,"Arena, LLC",,,,,,1260 E. Stringham Ave #400,,Salt Lake City,UT,84106,,,2024-05-29,72661.72,,Non-federal Mail production/postage,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29007,,,ORG,Creative Strategic Solutions LLC,,,,,,7708 Richmond Highway Suite 1018 ,,Arlington,VA,22313,,,2024-06-03,231220.19,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29008,,,ORG,Ascent Media LLC,,,,,,7600 E. Eastman Avenue Suite 405,,Denver,CO,80231,,,2024-06-04,11135.00,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29009,,,ORG,Creative Direct,,,,,,1402 Belleville Street,,Richmond,VA,23230,,,2024-06-05,50000.00,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29011,,,ORG,Grassroots Targeting,,,,,,106 S. Columbus Street ,,Alexandria,VA,22314,,,2024-06-10,85000.00,,Non-federal Research,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29010,,,ORG,In Field Strategies,,,,,,333 H Street Suite 5000,,Chula Vista,CA,91910,,,2024-06-10,500000.00,,Non-federal Canvassing,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29012,,,ORG,Creative Strategic Solutions LLC,,,,,,7708 Richmond Highway Suite 1018 ,,Arlington,VA,22313,,,2024-06-18,108995.09,,Non-federal Digital Advertising,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29013,,,ORG,Creative Strategic Solutions LLC,,,,,,7708 Richmond Highway Suite 1018 ,,Arlington,VA,22313,,,2024-06-20,114288.13,,Non-federal Text messages,,,,,,,,,,,,,  ,,,,,,,
SB29,C00779595,SB29014,,,ORG,Cold Spark,,,,,,"Three PPG Place, Suite 500",,Pittsburgh,PA,15222,,,2024-06-28,667429.00,,Non-federal Mail production/postage,,,,,,,,,,,,,  ,,,,,,,
