form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00647966,SB21B.6187,,,ORG,ActBlue Technical Services,,,,,,366 Summer Street,,Somerville,MA,02144,,,2024-09-30,636.72,,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6224,,,ORG,Ben Hillman & Company,,,,,,35 Salisbury Road,,Sheffield,MA,01257,,,2024-08-08,3306.25,,Printing Design/Video Production,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5913,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-01,90.61,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5914,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-10,788.03,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6274,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-23,491.95,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6278,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-23,157.65,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6284,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-25,509.25,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5916,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-07-29,423.54,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5918,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-08-01,127.52,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.5919,,,ORG,Berea Printing Company,,,,,,188 Front Street,,Berea,OH,44017,,,2024-08-02,76.17,,Postcards - No Express Advocacy,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6210,,,ORG,Frame Media Strategies LLC,,,,,,452 Roosevelt Trail,,Windham,ME,04062,,,2024-07-19,1100.72,,Mailing List,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6243,,,ORG,Frame Media Strategies LLC,,,,,,452 Roosevelt Trail,,Windham,ME,04062,,,2024-09-04,548.63,,Mailing List,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6245,,,ORG,Law Offices of Sherwood Guernsey PC,,,,,,69 East Housatonic Street,,Pittsfield,MA,01201,,,2024-09-06,131.71,,Office Supplies,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6242,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-08-29,1015.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6247,,,ORG,"Sandler, Reiff, Lamb, Rosenstein & Birkenstock, PC",,,,,,"1090 Vermont Ave, NW",Suite 750,Washington,DC,20005,,,2024-09-26,700.00,,Legal Services,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6211,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-07-19,147.55,,Credit Card,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6222,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-07-31,3.00,,Bank Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6225,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-08-21,282.77,,Credit Card,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6238,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-08-31,3.00,,Bank Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6249,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-09-26,189.75,,Credit Card,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6249.5,SB21B.6249,SB21B,ORG,Press Republican,,,,,,170 Margaret St,,Plattsburgh,NY,12901,,,2024-09-26,32.50,,Subscription,,,,,,,,,,,,,,,,,,,X,
SB21B,C00647966,SB21B.6262,,,ORG,TD Bank,,,,,,99 West St.,,Pittsfield,MA,01201,,,2024-09-30,3.00,,Bank Charge,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6240,,,ORG,UPS,,,,,,"55 Glenlake Parkway, N.E.",,Atlanta,GA,30328,,,2024-09-03,20.38,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6241,,,ORG,UPS,,,,,,"55 Glenlake Parkway, N.E.",,Atlanta,GA,30328,,,2024-09-03,15.00,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
SB21B,C00647966,SB21B.6244,,,ORG,UPS,,,,,,"55 Glenlake Parkway, N.E.",,Atlanta,GA,30328,,,2024-09-06,62.45,,Postage - Not for federal candidates,,,,,,,,,,,,,,,,,,,,
