form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00620443,500607476,500607475,SB21B,ORG,Amtrak,,,,,,60 Massachusetts Ave NE,,Washington,DC,200024285,,,2024-01-10,522.00,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607496,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,1.77,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607507,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,3.83,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607517,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,44.92,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607477,500607475,SB21B,ORG,Delta Airlines,,,,,,1030 Delta Blvd,,Atlanta,GA,303541989,,,2024-01-10,1597.80,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607487,500607475,SB21B,ORG,Park Terrace Hotel,,,,,,18 W 40th St,,New York,NY,100183901,,,2024-01-10,19.60,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607497,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,31.03,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607508,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,7.99,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607518,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,14.21,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607488,500607475,SB21B,ORG,Park Terrace Hotel,,,,,,18 W 40th St,,New York,NY,100183901,,,2024-01-10,1161.86,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607498,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,4.46,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607509,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,46.78,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607519,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,23.51,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500607499,500607475,SB21B,ORG,Uber,,,,,,1455 Market St,Fl 4,San Francisco,CA,941031355,,,2024-01-10,22.92,0.00,Travel,,,,,,,,,,,,,,,,,,,X,*
SB21B,C00620443,500627486,,,ORG,MBA Consulting Group,,,,,,611 Pennsylvania Ave SE,# 143,Washington,DC,200034303,,,2024-01-24,502.00,0.00,Compliance Consulting,,,,,,,,,,,,,,,,,,,,
