form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB29,C00606962,SB29.198491,,,ORG,AMWG Consulting,,,,,,6607 East Lewis Ave,,Scottsdale,AZ,85257,,,2024-09-30,2000.00,,Web Design for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.198489,,,COM,Arizona Power PAC,,,,,,PO Box 97241,,Phoeniz,AZ,85060,,,2024-09-27,500000.00,,Digital Ads for non-federal elections,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201216,,,ORG,CCM&Co,,,,,,1022 Boulevard 329,,West Hartford,CT,06119,,,2024-09-20,12400.00,,Volunteer Recruitment Mailer,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201259,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-09-05,812.87,,T-shirts for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201263,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-09-10,3152.75,,T-shirts for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201265,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-09-12,2069.10,,T-shirts for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201269,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-09-13,1517.73,,T-shirts for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201270,,,ORG,Clash Graphics,,,,,,2233 Peachtree Rd,,Atlanta,GA,30309,,,2024-09-13,5880.06,,T-shirts for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201223,,,PTY,Colorado Working Families Party IE Committee,,,,,,77 Sands Street,,Brooklyn,NY,11201,,,2024-09-04,175000.00,,contribution for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201217,,,IND,,Hughs,Jane,,,,403 E Melbourne Ave,,Silver Springs,MD,20901,,,2024-09-04,10000.00,,email list acquisition for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201390,,,ORG,Kennedy Printing,,,,,,5534 Baltimore Avenue,,Philadelphia,PA,19143,,,2024-06-24,513.69,,Reimbursement printing for non-federal  account 201221 and 201220,,,,,,,,,,,,,,,,,,,X,
SB29,C00606962,SB29.201386,,,ORG,"Print N Press, Inc",,,,,,300 Cassidy Drive Suite 302,,Newport,DE,19805,,,2024-07-31,2700.00,,Printing for non-federal candidate. Tied to reimurbemsnet 201221 and 201220,,,,,,,,,,,,,,,,,,,X,
SB29,C00606962,SB29.201327,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2024-09-05,8432.60,,Direct mail for non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201328,,,ORG,Red Horse Strategies,,,,,,55 Washington St,,Brooklyn,NY,11201,,,2024-09-11,24000.00,,Direct mail for non-federal candidate,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201222,,,ORG,Rosemont Capitol Consulting LLC,,,,,,40 Miller Hill Rd,,Osage,WV,26543,,,2024-09-06,6000.00,,"Consulting - non-federal volunteer recruitment, phone banking mangement, social media management",,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201224,,,ORG,Turn it Blue Digital,,,,,,1919 14th Street,,Boulder,CO,80302,,,2024-09-19,80000.00,,Digital ads for non-federal election,,,,,,,,,,,,,,,,,,,,
SB29,C00606962,SB29.201225,,,ORG,Union Print Shop,,,,,,49 S Sycamore St,,Mesa,AZ,85202,,,2024-09-26,8000.00,,sign printing for non-federal election,,,,,,,,,,,,,,,,,,,,
