form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00571323,SB21B.8039,,,ORG,Costco,,,,,,999 Lake Dr,,Issaquah,WA,98027,,,2023-12-04,394.96,,PAC - Food/Beverage,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7852,,,ORG,Embassy Suites,,,,,,7930 Jones Branch Drive,,McLEan,VA,22102,,,2023-07-26,214.38,,PAC - Lodging,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7823,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-07-05,46893.24,,PAC - LODGING,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7824,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-07-07,7452.35,,"PAC - Food/Beverage, Transportation, Parking, Fuel",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.7825,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-07-17,6585.00,,PAC - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8060,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-08-08,5343.89,,"PAC - Fundraising Consulting, Food/Beverage, Transportation, Parking,",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8061,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-08-24,7914.07,,"PAC - Food/Beverage, Parking, Transportation",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8062,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-09-10,4193.00,,"PAC - Fundraising Consulting, Airfare, Event Fee",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8293,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-10-06,5188.01,,"PAC Fundraising Consulting, Food/Beverage",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8294,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-10-15,14070.19,,"PAC Food/Beverage, Airfare, Parking, Transportation",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8295,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-10-16,7040.00,,PAC Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8296,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-10-30,11552.26,,"PAC Fundraising Consulting, Food/Beverage, Event Site Fee",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8297,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-11-24,16866.09,,"PAC Food/Beverage, Airfare, Transportation, Event Site Fee",,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8045,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-12-09,2500.00,,PAC - Fundraising Consulting,,,,,,,,,,,,,,,,,,,,
SB21B,C00571323,SB21B.8048,,,ORG,"H2 Capital Consulting, LLC",,,,,,5072 Sherier Place NW,,Washington,DC,20016,,,2023-12-18,17600.56,,"PAC - Fundraising Fees, Food/Beverage, Transportation,",,,,,,,,,,,,,,,,,,,,
