form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00824656,SB21B.4352,,,ORG,Constant Contact,,,,,,1601 Trapelo Road,,Waltham,MA,02451,,,2024-12-26,83.16,,email service,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4348,,,ORG,Impact,,,,,,2108 N St,Ste 4693,Sacramento,CA,95816,,,2024-12-06,16250.00,,strategic consulting services - IE Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4349,,,ORG,Impact,,,,,,2108 N St,Ste 4693,Sacramento,CA,95816,,,2024-12-06,16450.00,,strategic consulting services - IE Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4350,,,ORG,Impact,,,,,,2108 N St,Ste 4693,Sacramento,CA,95816,,,2024-12-12,16250.00,,strategic consulting services - IE Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4351,,,ORG,Impact,,,,,,2108 N St,Ste 4693,Sacramento,CA,95816,,,2024-12-16,16250.00,,strategic consulting services - IE Account,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4354,,,ORG,Metro Square,,,,,,244 5th Ave,#D257,New York,NY,10001,,,2024-12-05,23250.00,,communication consulting services,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4356,,,ORG,Metro Square,,,,,,244 5th Ave,#D257,New York,NY,10001,,,2024-12-05,23250.00,,communication consulting services,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4355,,,ORG,Metro Square,,,,,,244 5th Ave,#D257,New York,NY,10001,,,2024-12-10,23250.00,,communication consulting services,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4357,,,ORG,Metro Square,,,,,,244 5th Ave,#D257,New York,NY,10001,,,2024-12-10,23250.00,,communication consulting services,,,,,,,,,,,,,,,,,,,,
SB21B,C00824656,SB21B.4347,,,ORG,Wix,,,,,,500 Terry A Francois Blvd,,San Francisco,CA,94158,,,2024-12-05,15.26,,web hosting,,,,,,,,,,,,,,,,,,,,
