form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,dissemination_date,expenditure_amount,disbursement_date,calendar_y_t_d_per_election_office,expenditure_purpose_descrip,category_code,payee_cmtte_fec_id_number,support_oppose_code,candidate_id_number,candidate_last_name,candidate_first_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office,candidate_district,candidate_state,completing_last_name,completing_first_name,completing_middle_name,completing_prefix,completing_suffix,date_signed,memo_code,memo_text_description
SE,C00172361,SE.16936,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,92.69,2024-12-19,8734.95,Late additional invoice for Fall voter guide mailing,006,C00172361,S,P80001571,TRUMP,DONALD J.,,,,P,,,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16937,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,92.68,2024-12-19,8827.63,Late additional bill for Fall voter guide mailing,006,C00172361,O,P00009423,HARRIS,KAMALA,,,,P,,,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16939,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,30.90,2024-12-19,2911.64,Late additional bill for Fall voter's guide mailing,006,C00172361,S,S2PA00661,MCCORMICK,DAVE,,,,S,,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16940,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,30.89,2024-12-19,2942.53,Late additional bill for Fall voter's guide mailing,006,C00172361,O,S6PA00217,CASEY,ROBERT P JR,,,,S,,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16941,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for fall voter's guide mailing,006,C00172361,S,H6PA08277,FITZPATRICK,BRIAN,,,,H,01,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16942,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H2PA01099,EHASZ,ASHLEY,,,,H,01,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16943,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H4PA02069,BASHIR,AARON,,,,H,02,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16945,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H4PA13199,BOYLE,BRENDAN F,,,,H,02,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16946,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,210.18,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H6PA02171,EVANS,DWIGHT,,,,H,03,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16947,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H4PA04107,WINKLER,DAVID JOHN MR.,,,,H,04,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16949,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H8PA04116,DEAN,MADELEINE,,,,H,04,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16951,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,210.18,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H8PA07200,SCANLON,MARY GAY,,,,H,05,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16953,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,210.18,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H8PA06087,HOULAHAN,CHRISSY,,,,H,06,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16956,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H8PA15195,MACKENZIE,RYAN EDWARD,,,,H,07,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16957,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H8PA15229,WILD,SUSAN,,,,H,07,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16958,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,210.18,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H2PA17079,CARTWRIGHT,MATT,,,,H,08,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16959,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H8PA10147,MEUSER,DANIEL,,,,H,09,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16960,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H2PA09126,WALDMAN,AMANDA,,,,H,09,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16962,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H2PA04135,PERRY,SCOTT,,,,H,10,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16963,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H4PA10104,STELSON,JANELLE,,,,H,10,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16964,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,210.19,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H6PA16320,SMUCKER,LLOYD K.,,,,H,11,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16966,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,210.18,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H2PA18200,LEE,SUMMER,,,,H,12,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16967,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.96,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H8PA13125,JOYCE,JOHN,,,,H,13,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16968,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.37,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H4PA13298,FARNHAM,ELIZABETH RHOADS,,,,H,13,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16969,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.94,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H8PA18199,RESCHENTHALER,GUY MR.,,,,H,14,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16970,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.41,2024-12-19,420.35,Late additional bill for Fall voter's guide mailing,006,C00172361,O,H4PA14106,DZIADOS,CHRISTOPHER RYAN,,,,H,14,PA,Heisey,Deborah,J.,,,2025-01-25,
SE,C00172361,SE.16972,,,ORG,"Erdman Advertising, Marketing & Design",,,,,,920 East Center Street,,Millersburg,PA,17061,G2024,,2024-10-08,4.42,2024-12-19,415.94,Late additional bill for Fall voter's guide mailing,006,C00172361,S,H8PA05071,THOMPSON,GLENN MR.,,,,H,15,PA,Heisey,Deborah,J.,,,2025-01-25,
