form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00844613,SB21B.4767,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-04,-2375.04,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4773,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-04,-320.28,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4866,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-10,-2524.42,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4873,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-10,-1702.66,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4863,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-248.05,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4888,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-2250.50,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4908,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-1702.66,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4925,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-229.30,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4926,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-107.75,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4927,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-407.02,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4946,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-2524.42,,pull from avdance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4970,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-11,-1702.66,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4966,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-12,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4984,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-13,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.4999,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-13,-2524.42,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5022,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-15,-371.44,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5008,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-16,-264.58,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5014,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-16,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5436,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-17,35000.00,,Advance for future expenses,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5047,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-18,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5053,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-18,-290.43,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5060,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-18,-314.82,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5061,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-18,-133.18,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5055,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-19,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5098,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-23,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5114,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-23,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5086,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5092,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-188.72,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5099,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-354.57,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5119,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-95.31,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5132,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-188.72,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5133,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-65.13,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5141,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-25,-95.31,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5111,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-26,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5124,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-26,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5965,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-26,-166.25,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
SB21B,C00844613,SB21B.5153,,,ORG,Club for Growth,,,,,,2001 L ST NW STE 600,,Washington,DC,20036,,,2024-09-27,-2435.46,,pull from advance for I.E. Line 24,,,,,,,,,,,,,,,,,,,,
