form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB21B,C00754069,501068668,,,ORG,ActBlue Technical Services,,,,,,PO Box 441146,,West Somerville,MA,021440031,,,2023-06-30,7802.04,0.00,Credit Card Processing Fees,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068683,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-01-05,500.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068682,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-01-11,1500.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068690,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-01-12,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068684,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-01-30,150.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068689,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-02-13,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068688,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-03-13,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068687,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-04-12,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068686,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-05-12,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068685,,,ORG,Apollo Artistry,,,,,,1165 N Clark St,Ste 700,Chicago,IL,606102821,,,2023-06-12,100.00,0.00,Web Design,,,,,,,,,,,,,,,,,,,,
SB21B,C00754069,501068699,,,ORG,Campaigns & Elections Magazine,,,,,,1901 N Moore St,,Arlington,VA,222091728,,,2023-01-17,417.00,0.00,Subscription,,,,,,,,,,,,,,,,,,,,
