form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00409730,17060065C,17060065,SA11C,CCM,Ami Bera For Congress,,,,,,PO Box 582496,,Elk Grove,CA,957580042,,,2024-03-27,2500.00,0.00,Conduit Contribution,,C00461061,,,Bera,Amerish,,,,H,CA,07,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17052356C,17052356,SA11C,CCM,Andre Carson For Congress,,,,,,PO Box 1863,,Indianapolis,IN,462061863,,,2024-03-25,5000.00,0.00,Conduit Contribution,,C00442921,,,Carson,Andre,,,,H,IN,07,,,,,,,X,Earmarked by Ally Financial Inc. Advocacy PAC
SB23,C00409730,17058555C,17058555,SA11C,CCM,Andre Carson For Congress,,,,,,PO Box 1863,,Indianapolis,IN,462061863,,,2024-03-27,5000.00,0.00,Conduit Contribution,,C00442921,,,Carson,Andre,,,,H,IN,07,,,,,,,X,Earmarked by Elevance Health PAC (Formerly Anthem PAC)
SB23,C00409730,17031694C,17031694,SA11C,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO Box 230985,,Tigard,OR,972810985,,,2024-03-18,1000.00,0.00,Conduit Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17042191C,17042191,SA11C,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO Box 230985,,Tigard,OR,972810985,,,2024-03-21,2300.00,0.00,Conduit Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17053575C,17053575,SA11C,CCM,ANDREA SALINAS FOR OREGON,,,,,,PO Box 230985,,Tigard,OR,972810985,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00793703,,,SALINAS,ANDREA,,,,H,OR,06,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,17031682C,17031682,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-03-18,1500.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,"Earmarked by Defense, Economic Renewal, Education And Knowledge PAC"
SB23,C00409730,17031783C,17031783,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-03-18,500.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by AMERICAN INNOVATION POLITICAL ACTION COMMITTEE
SB23,C00409730,17042195C,17042195,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-03-21,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Serving Our Country (SOC) PAC
SB23,C00409730,17052343C,17052343,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17053561C,17053561,SA11C,CCM,Angie Craig For Congress,,,,,,PO Box 22116,,Eagan,MN,551220116,,,2024-03-25,1000.00,0.00,Conduit Contribution,,C00575209,,,Craig,Angela,,,,H,MN,02,,,,,,,X,Earmarked by Bridge The Gap PAC
SB23,C00409730,500407795,,,PAC,Annie PAC,,,,,,1 Park Row,Ste 5,Providence,RI,029031235,,,2024-03-06,1000.00,0.00,Contribution,,C00540062,Annie PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,500407796,,,PAC,BACKPAC,,,,,,1751 Potomac Greens Dr,,Alexandria,VA,223146233,,,2024-03-06,1000.00,0.00,Contribution,,C00566562,BACKPAC,,,,,,,,,,,,,,,,,
SB23,C00409730,500407804,,,PAC,BFB PAC,,,,,,499 S Capitol St SW,Ste 407,Washington,DC,200034016,,,2024-03-06,1000.00,0.00,Contribution,,C00584805,BFB PAC,,,,,,,,,,,,,,,,,
SB23,C00409730,17022982C,17022982,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-14,3000.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by National Multi Housing Council Political Action Committee
SB23,C00409730,17052337C,17052337,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-25,2500.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Honeywell International PAC
SB23,C00409730,17057622C,17057622,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-27,2000.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Investment Company Institute PAC
SB23,C00409730,17057623C,17057623,SA11C,CCM,Bill Foster For Congress Committee,,,,,,PO Box 9104,,Aurora,IL,605989104,,,2024-03-27,2000.00,0.00,Conduit Contribution,,C00435099,,,Foster,William,G.,,,H,IL,11,,,,,,,X,Earmarked by Investment Company Institute PAC
