form_type,filer_committee_id_number,transaction_id_number,back_reference_tran_id_number,back_reference_sched_name,entity_type,payee_organization_name,payee_last_name,payee_first_name,payee_middle_name,payee_prefix,payee_suffix,payee_street_1,payee_street_2,payee_city,payee_state,payee_zip_code,election_code,election_other_description,expenditure_date,expenditure_amount,semi_annual_refunded_bundled_amt,expenditure_purpose_descrip,category_code,beneficiary_committee_fec_id,beneficiary_committee_name,beneficiary_candidate_fec_id,beneficiary_candidate_last_name,beneficiary_candidate_first_name,beneficiary_candidate_middle_name,beneficiary_candidate_prefix,beneficiary_candidate_suffix,beneficiary_candidate_office,beneficiary_candidate_state,beneficiary_candidate_district,conduit_name,conduit_street_1,conduit_street_2,conduit_city,conduit_state,conduit_zip_code,memo_code,memo_text_description,reference_to_si_or_sl_system_code_that_identifies_the_account
SB23,C00029504,87624232,,,CCM,Courtney For Congress,,,,,,PO Box 1372,,Vernon,CT,06066,P2024,,2023-09-19,-2000.00,0.00,,011,C00410233,Courtney For Congress,H2CT02112,Courtney,Joe,,Rep.,,H,CT,02,,,,,,,X,Re-designation on 09/19/2023
SB23,C00029504,87624767,,,CCM,Friends Of Rosa Delauro,,,,,,340 Orange Street,,New Haven,CT,06511,P2024,,2023-09-19,-2500.00,0.00,,011,C00238865,Friends Of Rosa Delauro,H0CT03072,DeLauro,Rosa,L.,Rep.,,H,CT,03,,,,,,,X,Re-designation on 09/19/2023
SB23,C00029504,87624983,,,CCM,Larson For Congress,,,,,,PO Box 261172,,Hartford,CT,061261172,P2024,,2023-09-19,-1000.00,0.00,,011,C00330142,Larson For Congress,H8CT01046,Larson,John,,Rep.,,H,CT,01,,,,,,,X,Re-designation on 09/19/2023
SB23,C00029504,87790305,,,CCM,Friends Of Jim Clyburn,,,,,,Post Office Box 12567,,Columbia,SC,29211,P2024,,2023-09-20,-2500.00,0.00,Void - Friends Of Jim Clyburn,011,C00255562,Friends Of Jim Clyburn,H2SC02042,Clyburn,James,E.,Rep.,,H,SC,06,,,,,,,,Void - Friends Of Jim Clyburn
SB23,C00029504,87790306,,,CCM,Cohen For Congress,,,,,,349 Kenilworth Place,,Memphis,TN,38112,P2024,,2023-09-20,-1000.00,0.00,Void - Cohen For Congress,011,C00422980,Cohen For Congress,H6TN09068,Cohen,Steve,,Rep.,,H,TN,09,,,,,,,,Void - Cohen For Congress
SB23,C00029504,87790307,,,CCM,Davis For Congress/Friends Of Davis,,,,,,5956 W. Race Avenue,,Chicago,IL,60644,P2024,,2023-09-20,-1000.00,0.00,Void - Davis For Congress/Friends Of Davis,011,C00172619,Davis For Congress/Friends Of Davis,H4IL07037,Davis,Danny,K.,Rep.,,H,IL,07,,,,,,,,Void - Davis For Congress/Friends Of Davis
SB23,C00029504,87790308,,,CCM,Mario Diaz-Balart For Congress,,,,,,8724 Sw 72nd St,# 420,Miami,FL,331733512,P2024,,2023-09-20,-2000.00,0.00,Void - Mario Diaz-Balart For Congress,011,C00376087,Mario Diaz-Balart For Congress,H2FL25018,Diaz-Balart,Mario,,Rep.,,H,FL,26,,,,,,,,Void - Mario Diaz-Balart For Congress
SB23,C00029504,87790309,,,CCM,Alexandria Ocasio-Cortez For Congress,,,,,,PO Box 680080,,Corona,NY,11368,P2024,,2023-09-20,-1000.00,0.00,Void - Alexandria Ocasio-Cortez For Congress,011,C00639591,Alexandria Ocasio-Cortez For Congress,H8NY15148,Ocasio-Cortez,Alexandria,,Rep.,,H,NY,14,,,,,,,,Void - Alexandria Ocasio-Cortez For Congress
SB23,C00029504,87790310,,,CCM,The Committee To Elect Ayanna Pressley,,,,,,PO Box 240912,554 Washington St,Dorchester Center,MA,02124,P2024,,2023-09-20,-1000.00,0.00,Void - The Committee To Elect Ayanna Pressley,011,C00667741,The Committee To Elect Ayanna Pressley,H8MA07032,Pressley,Ayanna,,Rep.,,H,MA,07,,,,,,,,Void - The Committee To Elect Ayanna Pressley
SB23,C00029504,87790311,,,CCM,Guy For Congress,,,,,,P.O. Box 23177,,Pittsburgh,PA,15222,P2024,,2023-09-20,-2000.00,0.00,Void - Guy For Congress,011,C00657833,Guy For Congress,H8PA18199,Reschenthaler,Guy,,Rep.,,H,PA,14,,,,,,,,Void - Guy For Congress
SB23,C00029504,87790576,,,CCM,Larson For Congress,,,,,,PO Box 261172,,Hartford,CT,061261172,P2024,,2023-07-21,1000.00,0.00,Funds Reported On August Monthly 2023,011,C00330142,Larson For Congress,H8CT01046,Larson,John,,Rep.,,H,CT,01,,,,,,,X,Funds Reported On August Monthly 2023
SB23,C00029504,87790577,,,CCM,Larson For Congress,,,,,,PO Box 261172,,Hartford,CT,061261172,C2024,Convention2024,2023-09-19,1000.00,0.00,Re-designated funds for trans. dated 7/21/2023,011,C00330142,Larson For Congress,H8CT01046,Larson,John,,Rep.,,H,CT,01,,,,,,,X,Re-designated funds for trans. dated 7/21/2023
